	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	simpleCount	PPMI_VarianceThreshold_threshold_005	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_04	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	VarianceThreshold_threshold_03	VarianceThreshold_threshold_02	PPMI_add1_VarianceThreshold_threshold_001	PPMI_VarianceThreshold_threshold_0005	PPMI_add1_VarianceThreshold_threshold_005	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	VarianceThreshold_threshold_005	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI_add1	w2v
0	baiser	shàn	vœu	ve	Jarre	baiser	baiser	baiser	"Jamaïque"""	loi	no	chirurgien	baiser	shàn	comté	comté	baiser	gǎn	ose	baiser	Michelle	Michelle	baiser	200	chirurgien	Mongols	documentation	"sauvage"""	baiser	naître
1	vœu	chagrin	baiser	KingScénario	collabore	Special	"Jamaïque"""	Jamaïque	Lacroix	comté	comté	Vénus	vœu	abondance	carrière	major	"Jamaïque"""	aimable	mention	Michelle	"Jamaïque"""	Parayre	parent	Zambèze	préface	charte	Michelle	rousseauiste	vœu	nom
2	poète	gǎn	recueil	.En	cœur	8conquestcontact	vœu	rendement	Michelle	no	bon	Parayre	Jamaïque	daylights)meilleur	représenter	Sud	préface	Bon	guide	.équivalent	一箭双雕	chirurgien	peur	marché	documentation	gǎn	hollywood	chagrin	Jamaïque	an
3	traduire	abondance	récemment	funéraire	Uni	21stFrom	recueil	jamaïque	baiser	remporte	loi	Michelle	"Jamaïque"""	chagrin	dépasser	1820	Lacroix	Werdenter	1861.La	"Jamaïque"""	cerise	documentation	raison	Vienne	Lacroix	Lifeless	Parayre	urgent	"Jamaïque"""	être
4	équivalent	Jamaïque	écrivain	Batman	records)2007	cd)cycle	équivalente	daylights)meilleur	.équivalent	service	service	1809	Living	gǎn	relever	manifester	Michelle	duō	Hétairiste	documentation	munie	Aisne	faire	policierdurée	militant	"sauvage"""	préface	déplaisir	daylights)meilleur	place
5	documentation	chóu	Berlin	tothmusique	volume	21st	.équivalent	Living	syndrome	bon	remporte	Boulleret	jamaïque	baiser	irlande	originaire	Parayre	好声好气	actuel	Berthe	Campignien	Cougny	connaître	musicaleduré	Boulleret	rousseauiste	1884	court	Living	faire
6	Aisne	aimable	nouveau	Saturn	indice	nouveau	Jamaïque	"Jamaïque"""	2002maryvonne	heure	heure	Roland	一箭双雕	aimable	bas	développement	traduction	"sauvage"""	innocenter	rougetitre	Lorandi	~	céleste	dialectal	Michelle	baiser	poète	gǎn	jamaïque	famille
7	équivalente	vœu	œuvre	Driven	aventure	Doors	daylights)meilleur	vœu	Saint-Pulgent	1	1	vœu	être	Bon	passer	germanophone	documentation	Dalfins	aucun	Campignien	SFR	insurgé	espèce	UMagasin	1937	chóu	2002maryvonne	47	recueil	partir
8	nationalité	多事之秋	traduction	Hate	Gun	30ExpandedFrom	équivalent	savoir	一箭双雕	mois	division	poète	recueil	Living	viii	implantation	vœu	jamaïque	retirer	gâteau	Vinaya	opérateur	être	Amérique	syndrome	Ian	Saint-Pulgent	vom	gǎn	grand
9	traduction	rousseauiste	langue	traite	Sellers	Face	Living	vot'	flèche	programme	mois	documentation	daylights)meilleur	.多愁善感	tour	Cassini	.équivalent	rendement	10	agresser	Dulva	"Jamaïque"""	remercier	complexe	Saint-Pulgent	1673	syndrome	Geschichte	être	créer
