	cousin_10000_PPMI_VarianceThreshold_threshold_001	cousin_10000_PPMI_add1_PCA_ncomponents_100	cousin_10000_w2v	famille_10000_PPMI_VarianceThreshold_threshold_001	famille_10000_PPMI_add1_PCA_ncomponents_100	famille_10000_w2v	mère_10000_PPMI_VarianceThreshold_threshold_001	mère_10000_PPMI_add1_PCA_ncomponents_100	mère_10000_w2v	père_10000_PPMI_VarianceThreshold_threshold_001	père_10000_PPMI_add1_PCA_ncomponents_100	père_10000_w2v
0	Bernhard	Alleman	effectuer	espèce	espèce	être	Banning	fille	nombre	Garrone	Buschmann	important
1	Sasha	12/1279	joueur	genre	araignée	devenir	enfantmarie	épouse	an	LiviaRiccardo	René	être
2	Powell	seigneur	Michel	coléoptère	genre	année	Mulè	René	monde	LiviaFrancesco	fils	famille
3	Eschenbach	Guillaume	évêque	aranéomorphe	aranéomorphe	général	Doria	Colette	forme	forêtgrand	Louis	situer
4	Colin	dame	fédération	magnoliacée	noble	grand	Ragland	père	musique	Mulè	mère	Aubusson
5	Königshofen	Sassenage	agir	pseudoscorpion	endémique	faire	Yayoi)C'	frère	site	hiboupremier	épouse	fils
6	Natasha	chevalier	exemple	Staphylinidae	Intihuatana	groupe	Cliveden	oncle	France	adolescence	abbé	forme
7	père,	Savoie	commencer	Leroy	magnoliacée	nom	Harmon	prénommer	moyen	Riché	Edward	France
8	Naby	dauphin	Matsue	DauphinéUlysse	Pseudamyciaea	ancien	Yayoi	cadet	octobre	désertion	Friedrich	château
9	Sharif	entremise	19	VirieuViennoisArmorial	arbre	prendre	Mlle	Marie	art	1534	mari	année
