	légume_10000_PPMI_VarianceThreshold_threshold_001	légume_10000_PPMI_add1_PCA_ncomponents_100	légume_10000_w2v	animal_10000_PPMI_VarianceThreshold_threshold_001	animal_10000_PPMI_add1_PCA_ncomponents_100	animal_10000_w2v	woke_10000_PPMI_VarianceThreshold_threshold_001	woke_10000_PPMI_add1_PCA_ncomponents_100	bleu_10000_PPMI_VarianceThreshold_threshold_001	bleu_10000_PPMI_add1_PCA_ncomponents_100	bleu_10000_w2v	café_10000_PPMI_VarianceThreshold_threshold_001	café_10000_PPMI_add1_PCA_ncomponents_100	café_10000_w2v
0	霉干菜	verdure	recherche	rustique	talon	livre	antiraciste	détracteur	bochard-de-saron	rue	ville	liqueur	liqueur	occuper
1	prunier	orangé	syrien	forêtgrand	.équivalent	film	détracteur	anthropoïde	Bergère	Bleue	Aubusson	Baumel	vodka	grec
2	méigāncài	pita	danse	caouann	sauvage	fille	doline	tarsier	Krysztof	Cadet	travail	épicerie	Petit-Pont	créer
3	sécher	kilburnbrésil	m.	nécrophage	oral	The	Mundharmonika	expectorer	pantalon	Faubourg	art	crème	Kahlúa	David
4	saveur	drapé	directeur	pâturer	équivalente	donner	Bonart	antidote	Bellefond	vert	espèce	chantilly	crème	réseau
5	oignon	amazoniennechili	classe	tortue	oreille	2002	Harmonica	chinoishéshàngdàsǎn500	1991)Trois	Dareau	être	ravitailler	.no	autour
6	梅干菜	kebbé	grec	guitarele	Achille	début	stibium	racine	Boule	voie	partie	tía	glaçon	victoire
7	étonnant	séparatisme	septembre	caméléonla	mélodie	Charles	syllabe	microphone	quasi-général	Audran	homme	millilitre	bordayer	tandis
8	aubergine	1).L'	date	nécromasse	défiler	sein	lessons)trafic	nécessaire]L'	outremer	arrondissement	membre	goutte	coco	siècle
9	moisi	viande	recette	criquet	gâteau	côté	vandalisme	accessoire	Kieslowski	Beauregard	écrire	fashioned	Baileys	européen
