	ville_10000_VarianceThreshold_threshold_05	ville_10000_VarianceThreshold_threshold_04	ville_10000_VarianceThreshold_threshold_01	ville_10000_VarianceThreshold_threshold_03	ville_10000_VarianceThreshold_threshold_02	ville_10000_VarianceThreshold_threshold_002	ville_10000_VarianceThreshold_threshold_001	ville_10000_VarianceThreshold_threshold_005	ville_10000_PPMI_VarianceThreshold_threshold_005	ville_10000_PPMI_VarianceThreshold_threshold_001	ville_10000_PPMI_VarianceThreshold_threshold_0005	ville_10000_PPMI_VarianceThreshold_threshold_01	ville_10000_PPMI_VarianceThreshold_threshold_03	ville_10000_PPMI_VarianceThreshold_threshold_02	ville_10000_PPMI_add1_VarianceThreshold_threshold_0005	ville_10000_PPMI_add1_VarianceThreshold_threshold_0001	ville_10000_PPMI_add1_VarianceThreshold_threshold_001	ville_10000_PPMI_add1_VarianceThreshold_threshold_005
0	commune	état	centaine	annuler	jeune	construire	construire	chapelle	situer	Bảo	situer	situer	Bunmei	sud	être	être	être	ose
1	état	avril	voie	premier	premier	village	village	construire	être	Lộc	natal	nord	padouegrand	ancien	grand	situer	commune	mention
2	avril	armée	siècle	avancée	jamais	chapelle	nord	donner	construire	Dương	Bảo	village	banzai	aujourd'hui	ancien	grand	ancien	guide
3	armée	bien	édifice	détruire	construire	nord	Duc	Julie	sud	centre	Dương	région	adsl	chapelle	situer	nord	village	1861.La
4	bien	pouvoir	corps	cause	avoir	donner	donner	saint	île	situer	district	ancien	14	emplacement	partie	partie	siècle	Hétairiste
5	pouvoir	lieu	pont	comte	annuler	ancien	ancien	fait	grand	Daejeon	centre	construire	Luisa	Saint-Michel	village	village	français	actuel
6	lieu	créer	chapelle	événement	romain	vitrer	condamner	Lecornu	nord	funéraillesHarry	Daejeon	centre	Lambesis	ouest	siècle	ancien	lieu	innocenter
7	créer	ajouter	Vimy	romain	comte	franc-maçon	église	lieu	église	natal	Linh	sud	Bogandé	ermitage	commune	siècle	partie	aucun
8	finalement	finalement	Julie	palais	palais	Duc	chapelle	village	château	Upar	Belfast	église	mortuaire	Éthiopie	faire	faire	grand	retirer
9	dernier	période	interpréter	consacrer	considérer	sud	sud	monastère	centre	Đà	oblast	capitale	lesbien	clocher	lieu	église	région	10
