	PCA_ncomponents_100.tsv	LocallyLinearEmbedding_ncomponents_100.tsv	MDS_ncomponents_100.tsv	VarianceThreshold_threshold_0.02.tsv	NMF_ncomponents_100.tsv	w2v
0	contre	batterie	but	nord-est	Companhia	Gremese
1	consiste	artillerie	diriger	club	tir	km2
2	batterie	ennemi	artillerie	Yacht	contrebatterie	forme
3	artillerie	contre	1947	Royal	consiste	Caracalla
4	contrebatterie	diriger	batterie	méandre	contre	ballet
5	ennemi	consiste	contrebatterie	sud-ouest	batterie	rôle
6	but	contrebatterie	Gaio»	Roseanne	artillerie	écrit
7	neutraliser	but	ennemi	tweet	but	longueur
8	diriger	neutraliser	Donizetti	presque	neutraliser	opéra
9	radar	Strauch	consiste	Barr	ennemi	Orchard
